S.No.,Block,District,Number.of.Panchayats,Received_in_Crores,Spent_in_Crores
1,Kanke,Ranchi,21,240641334,204230264
2,Namkum,Ranchi,17,179671114,124439162.7
3,Tamar,Ranchi,11,168516318,140455393
4,Mandar,Ranchi,14,151777203,138930287
5,Silli,Ranchi,17,137920931,126341728
6,Bero,Ranchi,9,137541340,129441181
7,Angara,Ranchi,32,141768857,117559953.4
8,Chanho,Ranchi,14,130166799,108617936.1
9,Ormanjhi,Ranchi,11,115891024,95987594.49
10,Burmu,Ranchi,19,112659580,93840467
11,Bundu,Ranchi,13,78079701,66350834.59
12,Khelari,Ranchi,23,91892449,85380746.07
13,Sonahatu,Ranchi,18,97718538,88921184.93
14,Ratu,Ranchi,9,133753165,110097099
15,Nagri,Ranchi,20,90001549,74446562.45
16,Lapung,Ranchi,20,82568411,66738712.5
17,Rahe,Ranchi,14,67107935,58953199
18,Itki,Ranchi,23,58622668,57264374
